benchmark,run,result
is-decreasing,baseline,127
is-decreasing,myopt,127
sum-divisors,baseline,159
sum-divisors,myopt,159
palindrome,baseline,298
palindrome,myopt,298
relative-primes,baseline,1923
relative-primes,myopt,1923
birthday,baseline,484
birthday,myopt,timeout
dot-product,baseline,88
dot-product,myopt,incorrect
orders,baseline,5352
orders,myopt,5352
binary-fmt,baseline,100
binary-fmt,myopt,100
euclid,baseline,563
euclid,myopt,563
fact,baseline,229
fact,myopt,incorrect
fitsinside,baseline,10
fitsinside,myopt,10
digital-root,baseline,247
digital-root,myopt,incorrect
bitshift,baseline,167
bitshift,myopt,incorrect
totient,baseline,253
totient,myopt,253
reverse,baseline,46
reverse,myopt,46
up-arrow,baseline,252
up-arrow,myopt,timeout
hanoi,baseline,99
hanoi,myopt,99
recfact,baseline,104
recfact,myopt,104
lcm,baseline,2326
lcm,myopt,2326
quadratic,baseline,785
quadratic,myopt,incorrect
pythagorean_triple,baseline,61518
pythagorean_triple,myopt,incorrect
sum-check,baseline,5018
sum-check,myopt,timeout
sum-sq-diff,baseline,3038
sum-sq-diff,myopt,incorrect
factors,baseline,72
factors,myopt,72
primes-between,baseline,574100
primes-between,myopt,87530
perfect,baseline,232
perfect,myopt,232
armstrong,baseline,133
armstrong,myopt,133
bitwise-ops,baseline,1690
bitwise-ops,myopt,1690
collatz,baseline,169
collatz,myopt,169
loopfact,baseline,116
loopfact,myopt,116
fizz-buzz,baseline,3652
fizz-buzz,myopt,timeout
catalan,baseline,659378
catalan,myopt,incorrect
rectangles-area-difference,baseline,14
rectangles-area-difference,myopt,14
ackermann,baseline,1464231
ackermann,myopt,1464231
check-primes,baseline,8468
check-primes,myopt,8468
gcd,baseline,46
gcd,myopt,46
pascals-row,baseline,146
pascals-row,myopt,146
sum-bits,baseline,73
sum-bits,myopt,incorrect
mod_inv,baseline,558
mod_inv,myopt,incorrect
